id_combined,date,experiment,us,treatment,trust_promise,trust,promise,default_yes,default_no,promise_yes,reported_diceroll,correct_guess,age,female,education,universitydegree,sector,employed,highincome,politicalright,believeingod,believeinfreewill,generaltrust,age_35,am_politics,am_god,am_freewill,am_trust,reciprocity_norms,moral_obligation,consistency,negative_emotion,positive_emotion,activepromise_treatment,default_treatment
6382, 5/24/2022 11:52,3,1,Trust,0,1,0,0,0,,6,0,45,0,3,1,1,1,1,4,1,10,8,1,0,0,0,1,8,9,10,8,9,,0
6383,  5/24/2022 6:16,3,1,Control,0,0,0,0,0,,2,0,26,1,3,1,2,1,1,3,2,10,7,0,0,0,0,0,11,11,10,11,9,0,0
6384,  5/24/2022 2:02,3,1,Default_no,0,0,0,0,1,1,3,0,66,1,4,1,2,1,1,11,11,11,10,1,1,1,1,1,11,11,11,11,11,,1
6385,  5/24/2022 5:51,3,1,Promise,0,0,1,0,0,1,1,0,23,1,3,1,1,1,0,5,1,11,5,0,1,0,1,0,11,11,11,8,9,1,0
6386,  5/25/2022 5:05,3,1,Trust_promise,1,0,0,0,0,1,1,0,61,0,2,0,1,1,0,7,7,10,9,1,1,1,0,1,6,11,11,6,6,1,0
6387,  5/24/2022 2:34,3,1,Trust,0,1,0,0,0,,1,1,62,1,3,1,1,1,0,1,7,8,8,1,0,1,0,1,8,9,9,9,8,,0
6388, 5/24/2022 11:50,3,1,Control,0,0,0,0,0,,4,1,23,0,2,0,1,1,0,1,1,10,5,0,0,0,0,0,9,10,9,9,9,0,0
6389,  5/24/2022 1:09,3,1,Trust_promise,1,0,0,0,0,1,6,0,26,1,3,1,1,1,0,3,5,9,5,0,0,0,0,0,11,10,10,10,10,1,0
6390,  5/24/2022 3:43,3,1,Trust_promise,1,0,0,0,0,1,3,1,25,1,4,1,1,1,1,2,5,4,6,0,0,0,0,0,10,10,10,10,8,1,0
6391,  5/24/2022 2:48,3,1,Control,0,0,0,0,0,,3,1,29,1,2,0,1,1,0,2,1,11,6,0,0,0,1,0,11,11,11,11,11,0,0
6392,  5/24/2022 3:16,3,1,Promise,0,0,1,0,0,1,4,1,58,1,2,0,1,1,0,3,2,9,8,1,0,0,0,1,11,11,11,10,11,1,0
6393,  5/24/2022 2:49,3,1,Promise,0,0,1,0,0,1,4,0,39,0,3,1,2,1,1,6,1,11,5,1,1,0,1,0,6,6,10,8,8,1,0
6394,  5/25/2022 8:09,3,1,Default_yes,0,0,0,1,0,1,4,0,65,0,2,0,3,0,0,1,2,11,7,1,0,0,1,0,11,11,11,11,11,,1
6395,  5/24/2022 1:13,3,1,Trust_promise,1,0,0,0,0,1,5,0,48,1,3,1,2,1,0,2,2,9,7,1,0,0,0,0,11,11,11,6,6,1,0
6396,  5/24/2022 7:16,3,1,Control,0,0,0,0,0,,6,1,29,1,3,1,1,1,1,2,9,8,5,0,0,1,0,0,11,8,9,11,11,0,0
6397,  5/24/2022 1:41,3,1,Trust_promise,1,0,0,0,0,1,3,0,50,1,4,1,2,1,1,4,11,11,8,1,0,1,1,1,11,11,11,11,11,1,0
6398, 5/24/2022 11:25,3,1,Default_yes,0,0,0,1,0,1,5,0,40,0,4,1,1,1,1,11,11,11,9,1,1,1,1,1,10,9,10,10,10,,1
6399, 5/24/2022 12:57,3,1,Default_no,0,0,0,0,1,1,3,1,36,0,3,1,1,1,0,4,2,9,5,1,0,0,0,0,11,8,8,7,2,,1
6400,  5/24/2022 2:38,3,1,Trust_promise,1,0,0,0,0,1,2,0,79,0,2,0,3,0,1,9,7,11,10,1,1,1,1,1,11,11,11,4,10,1,0
6401,  5/24/2022 3:18,3,1,Control,0,0,0,0,0,,6,1,36,0,3,1,1,1,0,2,1,11,7,1,0,0,1,0,4,7,6,2,7,0,0
6402, 5/24/2022 11:01,3,1,Promise,0,0,1,0,0,1,5,1,29,0,3,1,1,1,1,6,11,9,7,0,1,1,0,0,9,9,10,9,9,1,0
6403,  5/24/2022 1:07,3,1,Trust_promise,1,0,0,0,0,1,5,1,31,0,3,1,1,1,0,3,3,8,7,0,0,0,0,0,11,9,10,7,7,1,0
6404,  5/24/2022 7:22,3,1,Trust,0,1,0,0,0,,3,1,52,1,2,0,3,0,0,6,11,11,6,1,1,1,1,0,11,11,11,11,11,,0
6405,  5/24/2022 2:28,3,1,Default_no,0,0,0,0,1,1,1,0,26,1,3,1,3,0,0,11,11,11,1,0,1,1,1,0,11,11,11,11,11,,1
6406,  5/24/2022 6:55,3,1,Control,0,0,0,0,0,,5,1,32,0,2,0,1,1,0,1,3,9,3,0,0,0,0,0,7,9,10,6,9,0,0
6407, 5/24/2022 11:09,3,1,Default_no,0,0,0,0,1,1,3,1,56,0,2,0,2,1,0,10,10,9,4,1,1,1,0,0,5,5,5,5,5,,1
