"round_number","block_number","sequence_number","block_type","winning_probability","aaron_mood","probability_aaron_show","reward_value","reaction_time","choice","status_of_play","outcome","accumulated_outcomes","age","gender","major","MCQ_Q1","MCQ_Q2","MCQ_Q3","MCQ_Q4","MCQ_Q5","MCQ_Q6","chance_guess","pre_game_strategy","wager","post_game_quiz_q1","post_game_quiz_q2","post_game_quiz_q3","post_game_quiz_q3_other","post_game_quiz_correct","odds_guess_one_reply","odds_guess_one_did_win","odds_guess_two_reply","odds_guess_two_did_win","odds_guess_three_reply","odds_guess_three_did_win","id","treatment","craver","previous_choice","previous_trial_outcome","exposure_time","craver_2","blue_interspersed"
3,11,1,"S",0.8,"High",0.5,"Low",644,1,0,0,11.7,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,27,1,2
4,11,1,"S",0.8,"High",0.5,"Low",436,1,0,0,11.7,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,27,1,2
5,11,1,"S",0.8,"High",0.5,"Low",404,1,0,0,11.7,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,27,1,2
1,12,1,"S",0.8,"High",0.5,"High",522,1,1,1.3,13,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,27,1,2
2,12,1,"S",0.8,"High",0.5,"High",449,1,1,1.3,14.3,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,28,1,2
3,12,1,"S",0.8,"High",0.5,"High",605,1,0,0,14.3,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,29,1,2
4,12,1,"S",0.8,"High",0.5,"High",355,1,0,0,14.3,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,29,1,2
5,12,1,"S",0.8,"High",0.5,"High",467,1,1,1.3,15.6,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,29,1,2
1,13,1,"S",0.8,"Low",1,"Low",436,1,1,0.3,15.9,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,30,1,2
2,13,1,"S",0.8,"Low",1,"Low",428,1,1,0.3,16.2,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,31,1,2
3,13,1,"S",0.8,"Low",1,"Low",548,1,1,-0.7,15.5,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,32,1,2
4,13,1,"S",0.8,"Low",1,"Low",369,1,1,0.3,15.8,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,32,1,2
5,13,1,"S",0.8,"Low",1,"Low",467,1,1,0.3,16.1,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,33,1,2
