session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Student Status,Employment Status,Current Country of Residence,Nationality,First Language,Sex,Fluent languages,Industry
5e14bcc90459c8000acb1969,593675594e31b50001ce1a08,AWAITING REVIEW,2020-01-07 17:15:53.129000,2020-01-07 17:25:01.691000,548.562,61,271,1,100,,693460E2,United Kingdom,No,Part-Time,United Kingdom,United Kingdom,English,Male,English,Finance and Insurance
5e14bdcb4f40fbadff9e2b19,57f78ddf17031e00018fb60c,AWAITING REVIEW,2020-01-07 17:20:15.599000,2020-01-07 17:28:41.695000,506.096,40,289,1,100,,693460E2,Netherlands,No,Full-Time,Netherlands,Netherlands,Dutch,Male,Dutch,Finance and Insurance
5e14bf244f40fbae58339c3d,5b1f717b88ee7400012b4fb1,AWAITING REVIEW,2020-01-07 17:25:59.501000,2020-01-07 17:30:29.254000,269.753,36,467,9,98,,693460E2,United Kingdom,No,Full-Time,United Kingdom,United Kingdom,English,Male,English,Finance and Insurance
5e14c1b7dfdc95ad136b495d,5b14532ce9270900013c5bf6,AWAITING REVIEW,2020-01-07 17:36:58.632000,2020-01-07 17:43:07.597000,368.965,33,383,2,100,,693460E2,United Kingdom,No,Full-Time,United Kingdom,United Kingdom,English,Male,English,Finance and Insurance
5e14c1f5cb93ab0301e2bc28,5ad8dbe2e34a050001b83eac,AWAITING REVIEW,2020-01-07 17:37:57.719000,2020-01-07 17:43:09.938000,312.219,52,369,2,100,,693460E2,United Kingdom,No,Full-Time,United Kingdom,United Kingdom,English,Female,English,Finance and Insurance
5e14c217557425ad4067d0e8,56f29effed0cf60006911528,AWAITING REVIEW,2020-01-07 17:38:33.052000,2020-01-07 17:41:59.266000,206.214,43,342,2,100,,693460E2,United States,No,Full-Time,United States,United States,English,Male,English,Finance and Insurance
5e14c22b39bcdeaced6b46c4,5b7679bf7e61e30001755de4,AWAITING REVIEW,2020-01-07 17:38:51.557000,2020-01-07 17:47:51.441000,539.884,32,74,1,100,,693460E2,Poland,No,Full-Time,Poland,Poland,Polish,Female,"Polish, English",Finance and Insurance
5e14c2ba535e84000dac609d,59955d4ea2bbe0000188334d,RETURNED,2020-01-07 17:41:17.197000,,848510.342029,30,262,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e14c340feea89abd1d6ca63,59dfb52a3e4b5a00016a9ad6,AWAITING REVIEW,2020-01-07 17:43:29.982000,2020-01-07 17:49:05.564000,335.582,32,140,4,98,,693460E2,United Kingdom,No,Full-Time,United Kingdom,United Kingdom,English,Female,English,Finance and Insurance
5e14c406e632e1abdd10074f,5af29acb86e4d20001a0206e,TIMED-OUT,2020-01-07 17:46:46.326000,,848181.238,39,39,0,100,,,United Kingdom,No,Full-Time,United Kingdom,United Kingdom,English,Female,English,Finance and Insurance
5e14c4878dffa0acdf3b98cf,5b2161ce38b0be00014138a5,AWAITING REVIEW,2020-01-07 17:49:04.611000,2020-01-07 18:02:05.173000,780.562,43,175,1,100,,693460E2,Zambia,No,Part-Time,United Kingdom,United Kingdom,English,Female,English,Finance and Insurance
5e14c490da6badadc3413666,5af573e7b4dfd600018fc0be,AWAITING REVIEW,2020-01-07 17:49:06.872000,2020-01-07 17:53:40.562000,273.69,44,258,3,100,,693460E2,France,No,Full-Time,United Kingdom,United Kingdom,French,Female,German,Finance and Insurance
5e14c50f7d215a000afc5615,5a7096746fc3c60001f9598e,AWAITING REVIEW,2020-01-07 17:51:14.475000,2020-01-07 17:53:57.833000,163.358,26,154,2,100,,693460E2,United States,No,Full-Time,United States,United States,English,Female,Spanish,Finance and Insurance
5e14c52c3ff985000c48906c,5b2465d4007d870001c7926a,AWAITING REVIEW,2020-01-07 17:51:56.724000,2020-01-07 18:02:50.162000,653.438,44,598,1,100,,693460E2,United States,No,Full-Time,United States,United States,English,Male,English,Finance and Insurance
5e14c5685005ccaeefb6cd75,5a904f34f6dfdd0001ea2283,AWAITING REVIEW,2020-01-07 17:52:40.528000,2020-01-07 18:03:43.172000,662.644,35,99,0,100,,693460E2,United Kingdom,No,Part-Time,United Kingdom,United Kingdom,English,Female,English,Finance and Insurance
5e14c5c9eb9299000e23b844,597fe89a1b41a20001749f57,AWAITING REVIEW,2020-01-07 17:54:22.156000,2020-01-07 17:59:59.701000,337.545,41,823,2,100,,693460E2,United States,No,Full-Time,United States,United States,English,Female,English,Finance and Insurance
5e14c60706d8cb000bbae269,5b0281bcc573030001c35959,AWAITING REVIEW,2020-01-07 17:55:26.569000,2020-01-07 17:57:07.992000,101.423,21,26,2,92,,693460E2,United States,No,Part-Time,United States,United States,English,Male,Chinese,Finance and Insurance
5e14c61679876d000bb6fe22,58c6a76a7f7f9f0001c2cb19,AWAITING REVIEW,2020-01-07 17:55:38.452000,2020-01-07 18:01:25.476000,347.024,47,228,2,100,,693460E2,United Kingdom,No,Full-Time,United Kingdom,United Kingdom,English,Female,English,Finance and Insurance
5e14c801a92125000cf4a2f6,590631366462090001a7f12a,TIMED-OUT,2020-01-07 18:03:50.265000,,847157.54549,41,195,1,100,,,United Kingdom,No,Part-Time,United Kingdom,United Kingdom,English,Female,English,Finance and Insurance
5e14c821af0f0103ca8e6d73,5622e4dced6e5a0005c80078,AWAITING REVIEW,2020-01-07 18:04:23.728000,2020-01-07 18:12:20.685000,476.957,47,391,0,100,,693460E2,United States,No,Full-Time,United States,United States,English,Female,English,Finance and Insurance
5e14c863e69d0aaf5047f197,596f9bd71a0f2200019a9823,AWAITING REVIEW,2020-01-07 18:05:23.776000,2020-01-07 18:10:26.958000,303.182,32,455,9,98,,693460E2,United Kingdom,No,Part-Time,United Kingdom,United Kingdom,English,Female,English,Finance and Insurance
5e14c9583b42af04daac1e94,5a766fb01904200001556d05,AWAITING REVIEW,2020-01-07 18:09:35.613000,2020-01-07 18:18:36.775000,541.162,38,203,0,100,,693460E2,Canada,No,Part-Time,Canada,Canada,English,Female,English,Finance and Insurance
5e14c9aec12a36ae4034f742,5bce155e561901000121006f,AWAITING REVIEW,2020-01-07 18:11:02.172000,2020-01-07 18:15:28.631000,266.459,37,197,1,100,,693460E2,United Kingdom,No,Full-Time,United Kingdom,United Kingdom,English,Female,English,
5e14cb504cac68ae6ac47357,5baab77a9507e2000158683a,AWAITING REVIEW,2020-01-07 18:17:52.274000,2020-01-07 18:25:43.146000,470.872,28,51,1,99,,693460E2,Canada,Yes,Full-Time,Canada,Canada,English,Female,English,Finance and Insurance
5e14cd9611999fafa65feae6,5b1e2c3d2767e20001e5372e,AWAITING REVIEW,2020-01-07 18:36:06.292000,2020-01-07 18:43:56.589000,470.297,38,108,0,100,,693460E2,New Zealand,No,Full-Time,New Zealand,New Zealand,English,Female,English,Finance and Insurance
5e14d0cb6e597b000b748053,5b5c6ac94e945800017d9360,AWAITING REVIEW,2020-01-07 18:41:18.912000,2020-01-07 18:49:52.935000,514.023,43,100,1,100,,693460E2,Mozambique,No,Full-Time,United Kingdom,Portugal,Portuguese,Female,Portuguese,Finance and Insurance
5e14d127ecb3eaaf82a29eea,5af625943aba4900015ed3c7,AWAITING REVIEW,2020-01-07 18:45:00.857000,2020-01-07 18:52:15.943000,435.086,29,96,0,100,,693460E2,Mexico,No,Full-Time,Mexico,Mexico,Spanish,Male,"English, Spanish",Finance and Insurance
5e14d2b93ab1ce000b6de9ea,5ab5a51be1546900019b59ff,AWAITING REVIEW,2020-01-07 18:49:30.969000,2020-01-07 18:53:02.872000,211.903,30,403,3,99,,693460E2,China,No,Full-Time,United States,United States,Chinese,Male,Chinese,Finance and Insurance
5e14d2e58d257baf118aaaab,5b7b03b8c4e6ad0001d32617,AWAITING REVIEW,2020-01-07 18:50:15.502000,2020-01-07 18:54:55.864000,280.362,34,174,11,91,,693460E2,Poland,No,Full-Time,Poland,Poland,Polish,Male,German,Finance and Insurance
5e14d34ae78021ae270eecc2,5b9034f37afa2a0001f72905,AWAITING REVIEW,2020-01-07 18:52:03.680000,2020-01-07 18:58:38.590000,394.91,28,122,0,100,,693460E2,United Kingdom,Yes,Full-Time,United Kingdom,United Kingdom,English,Female,English,Finance and Insurance
5e14d48c9b92b1aed33b7e20,5bab5f23fdc48b00017769b7,AWAITING REVIEW,2020-01-07 18:57:16.542000,2020-01-07 19:08:13.622000,657.08,30,153,1,100,,693460E2,United Kingdom,No,Full-Time,United Kingdom,United Kingdom,English,Male,English,Finance and Insurance
5e14d4958fdce7000bd686d5,5ac9e0299534ba0001c76e80,AWAITING REVIEW,2020-01-07 18:57:28.662000,2020-01-07 19:05:39.938000,491.276,46,232,8,96,,693460E2,United Kingdom,Yes,Full-Time,United Kingdom,United Kingdom,English,Female,English,Finance and Insurance
5e14d500cfabd1000bcd183c,58509fbda6946500016117ed,AWAITING REVIEW,2020-01-07 18:59:20.487000,2020-01-07 19:02:52.772000,212.285,34,781,5,99,,693460E2,United States,No,Full-Time,United States,United States,English,Male,"English, Spanish",Finance and Insurance
5e14d5f38dffa0adaa4bd267,5a039a5efe645f0001e9eb3d,AWAITING REVIEW,2020-01-07 19:03:15.013000,2020-01-07 19:07:50.709000,275.696,25,57,0,100,,693460E2,United Kingdom,No,Full-Time,United Kingdom,United Kingdom,English,Female,English,Finance and Insurance
5e14d6cf2e4725ae55dcb44c,5b9f16c0962418000113290a,AWAITING REVIEW,2020-01-07 19:06:57.554000,2020-01-07 19:15:39.489000,521.935,25,211,2,100,,693460E2,United States,Yes,Full-Time,United States,United States,English,Female,English,Finance and Insurance
5e14d71fe632e1adb015aa06,597cf6b07fd75300013451f3,AWAITING REVIEW,2020-01-07 19:08:20.940000,2020-01-07 19:17:13.268000,532.328,62,459,6,99,,693460E2,United Kingdom,No,Full-Time,United Kingdom,United Kingdom,English,Female,English,Finance and Insurance
5e14d857f66c20000cd2bb9b,5a21aabb2b98bc0001a67c65,AWAITING REVIEW,2020-01-07 19:13:30.504000,2020-01-07 19:17:37.718000,247.214,51,62,2,99,,693460E2,United Kingdom,No,Full-Time,United Kingdom,United Kingdom,English,Male,English,Finance and Insurance
5e14d884082675ae2e60ee71,5b15c265d282ff00015c4576,AWAITING REVIEW,2020-01-07 19:14:19.785000,2020-01-07 19:20:06.060000,346.275,33,879,4,100,,693460E2,United States,Yes,Full-Time,United States,United States,English,Male,English,Finance and Insurance
5e14d9f82e4725aec51d6e49,599c578d8acf1e0001599633,AWAITING REVIEW,2020-01-07 19:20:24.021000,2020-01-07 19:26:56.416000,392.395,58,350,1,100,,693460E2,United Kingdom,No,Full-Time,United Kingdom,United Kingdom,English,Male,English,Finance and Insurance
5e14da28397f470136ab8535,5abd377ea3ba7a0001b45bf2,AWAITING REVIEW,2020-01-07 19:21:15.485000,2020-01-07 19:25:59.519000,284.034,50,532,1,100,,693460E2,Spain,No,Full-Time,United States,United States,Spanish,Female,English,Finance and Insurance
5e14daa43b42af05b4986e12,5bb5ddb068558a000125ab50,AWAITING REVIEW,2020-01-07 19:23:16.257000,2020-01-07 19:27:17.496000,241.239,31,83,2,99,,693460E2,United Kingdom,No,Full-Time,United Kingdom,United Kingdom,English,Male,English,Finance and Insurance
5e14dcabaf0f0105ac8d43a0,59d3ff9e078dbe0001951196,AWAITING REVIEW,2020-01-07 19:31:55.616000,2020-01-07 19:37:56.551000,360.935,34,20,0,100,,693460E2,Romania,No,Full-Time,United Kingdom,Romania,Romanian,Female,"English, Romanian",Finance and Insurance
5e14dd16805a30affb40bf60,597069324d10cd00014e154d,AWAITING REVIEW,2020-01-07 19:33:42.732000,2020-01-07 19:39:05.605000,322.873,28,401,12,96,,693460E2,United Kingdom,No,Full-Time,United Kingdom,United Kingdom,English,Female,English,Finance and Insurance
5e14dd777adf4bae1409f77a,5991f4b8cceb0f0001b39bc8,AWAITING REVIEW,2020-01-07 19:35:21.254000,2020-01-07 19:54:32.926000,1151.672,26,243,2,100,,693460E2,Italy,DATA EXPIRED,Full-Time,Italy,Italy,Italian,Male,"English, Italian",Finance and Insurance
