participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,tt.1.player.id_in_group,tt.1.player.treatment,tt.1.player.context,tt.1.player.random_decision,tt.1.player.random_input,tt.1.player.choice,tt.1.player.order,tt.1.player.severity,tt.1.player.reputation,tt.1.player.choice_1,tt.1.player.choice_2,tt.1.player.choice_3,tt.1.player.choice_4,tt.1.player.choice_5,tt.1.player.belief_1,tt.1.player.belief_2,tt.1.player.belief_3,tt.1.player.belief_4,tt.1.player.belief_5,tt.1.player.payoff,tt.1.group.id_in_subsession,tt.1.subsession.round_number,wordscra.1.player.id_in_group,wordscra.1.player.word1_1,wordscra.1.player.word1_2,wordscra.1.player.word1_3,wordscra.1.player.word1_4,wordscra.1.player.word1_5,wordscra.1.player.word2_1,wordscra.1.player.word2_2,wordscra.1.player.word2_3,wordscra.1.player.word3_1,wordscra.1.player.word3_2,wordscra.1.player.word3_3,wordscra.1.player.word3_4,wordscra.1.player.word3_5,wordscra.1.player.word3_6,wordscra.1.player.word4_1,wordscra.1.player.word4_2,wordscra.1.player.word4_3,wordscra.1.player.word4_4,wordscra.1.player.word4_5,wordscra.1.player.word5_1,wordscra.1.player.word5_2,wordscra.1.player.word5_3,wordscra.1.player.word5_4,wordscra.1.player.word5_5,wordscra.1.player.word6_1,wordscra.1.player.word6_2,wordscra.1.player.word6_3,wordscra.1.player.word6_4,wordscra.1.player.payoff,wordscra.1.group.id_in_subsession,wordscra.1.subsession.round_number,postexp.1.player.id_in_group,postexp.1.player.finlit_1,postexp.1.player.finlit_2,postexp.1.player.finlit_3,postexp.1.player.finlit_4,postexp.1.player.finlit_5,postexp.1.player.risk_aversion1,postexp.1.player.risk_aversion2,postexp.1.player.pref1_1,postexp.1.player.pref1_2,postexp.1.player.pref1_3,postexp.1.player.pref1_4,postexp.1.player.pref2_1,postexp.1.player.pref2_2,postexp.1.player.pref2_3,postexp.1.player.crt4,postexp.1.player.crt5,postexp.1.player.crt6,postexp.1.player.crt7,postexp.1.player.age,postexp.1.player.female,postexp.1.player.income,postexp.1.player.education,postexp.1.player.jobfunction,postexp.1.player.jobfunctiongp,postexp.1.player.investment,postexp.1.player.whichinvestment,postexp.1.player.finnews,postexp.1.player.comments,postexp.1.player.matrikelnr,postexp.1.player.rate,postexp.1.player.random_code,postexp.1.player.payoff,postexp.1.group.id_in_subsession,postexp.1.subsession.round_number
21,wm1u51qc,58e4eb666634f50001554b09,0,12,12,postexp,Results,2020-01-17 10:14:24.783218+00:00,1,,,2,2,b7rrvg7s,,,,,,0,1,0,21,su_ha_neu,abstract,2,choice_2,0,0,5,6,0,0,0,0,0,35,28,15,10,5,2,1,1,21,c,l,o,c,k,f,a,t,c,o,o,k,e,r,m,o,n,e,y,T,h,i,n,g,B,a,n,d,0,1,1,21,,,,,,4,,6,3,5,6,6,2,5,,,,,44,1,,3,8,,0,,,,,5,5624l,0,1,1
22,r41qz909,,0,0,12,,,,0,,,0,0,b7rrvg7s,,,,,,0,1,0,22,su_ha_abs,abstract,2,choice_2,,,,,,,,,,,,,,,0,1,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
23,7vr2xj2h,,0,0,12,,,,0,,,0,0,b7rrvg7s,,,,,,0,1,0,23,su_ha_neu,abstract,3,choice_3,,,,,,,,,,,,,,,0,1,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
24,17tyqkwy,,0,0,12,,,,0,,,0,0,b7rrvg7s,,,,,,0,1,0,24,su_ha_neu,abstract,1,choice_1,,,,,,,,,,,,,,,0,1,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
25,o1jupz5l,,0,0,12,,,,0,,,0,0,b7rrvg7s,,,,,,0,1,0,25,su_ha_abs,abstract,1,choice_1,,,,,,,,,,,,,,,0,1,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
26,8kqmucee,,0,0,12,,,,0,,,0,0,b7rrvg7s,,,,,,0,1,0,26,su_ha_abs,abstract,1,choice_1,,,,,,,,,,,,,,,0,1,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
27,ph62n2ka,,0,0,12,,,,0,,,0,0,b7rrvg7s,,,,,,0,1,0,27,su_ha_abs,abstract,4,choice_4,,,,,,,,,,,,,,,0,1,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
28,43w0c3ec,,0,0,12,,,,0,,,0,0,b7rrvg7s,,,,,,0,1,0,28,su_ha_neu,abstract,3,choice_3,,,,,,,,,,,,,,,0,1,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
29,3d8i3p0x,,0,0,12,,,,0,,,0,0,b7rrvg7s,,,,,,0,1,0,29,su_ha_abs,abstract,4,choice_4,,,,,,,,,,,,,,,0,1,1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
30,lu9azh1y,,0,0,12,,,,0,,,0,0,b7rrvg7s,,,,,,0,1,0,30,su_ha_abs,abstract,2,choice_2,,,,,,,,,,,,,,,0,1,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
31,dwjx603h,,0,0,12,,,,0,,,0,0,b7rrvg7s,,,,,,0,1,0,31,su_ha_abs,abstract,4,choice_4,,,,,,,,,,,,,,,0,1,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
32,x2rj9ivk,,0,0,12,,,,0,,,0,0,b7rrvg7s,,,,,,0,1,0,32,su_ha_abs,abstract,4,choice_4,,,,,,,,,,,,,,,0,1,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
33,nuvanrwn,,0,0,12,,,,0,,,0,0,b7rrvg7s,,,,,,0,1,0,33,su_ha_abs,abstract,4,choice_4,,,,,,,,,,,,,,,0,1,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
34,ykjnn9kf,,0,0,12,,,,0,,,0,0,b7rrvg7s,,,,,,0,1,0,34,su_ha_neu,abstract,2,choice_2,,,,,,,,,,,,,,,0,1,1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
35,mno98z64,,0,0,12,,,,0,,,0,0,b7rrvg7s,,,,,,0,1,0,35,su_ha_neu,abstract,2,choice_2,,,,,,,,,,,,,,,0,1,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
36,n1ixnvvh,,0,0,12,,,,0,,,0,0,b7rrvg7s,,,,,,0,1,0,36,su_ha_abs,abstract,2,choice_2,,,,,,,,,,,,,,,0,1,1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
37,goe1yu7j,,0,0,12,,,,0,,,0,0,b7rrvg7s,,,,,,0,1,0,37,su_ha_neu,abstract,1,choice_1,,,,,,,,,,,,,,,0,1,1,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
38,bo250ydj,,0,0,12,,,,0,,,0,0,b7rrvg7s,,,,,,0,1,0,38,su_ha_neu,abstract,3,choice_3,,,,,,,,,,,,,,,0,1,1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
