session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,epoch_time,seconds_on_page,subsession_pk,auto_submitted
1,14,ivul4918,5,tt,Questions,1579162938,49,1,False
1,14,ivul4918,6,wordscra,Task,1579162977,39,1,False
1,14,ivul4918,7,postexp,Risk,1579162992,15,1,False
1,14,ivul4918,8,postexp,Pref1,1579163039,47,1,False
1,14,ivul4918,9,postexp,Pref2,1579163071,32,1,False
1,14,ivul4918,10,postexp,Demographics,1579163188,117,1,False
1,14,ivul4918,11,postexp,ResultsTask,1579163193,5,1,False
1,15,5mhansba,1,tt,Instructions,1579192549,94,1,False
1,15,5mhansba,2,tt,Task,1579192571,22,1,False
1,15,5mhansba,3,tt,BeliefInstructions,1579192582,11,1,False
1,15,5mhansba,4,tt,Beliefs,1579192630,48,1,False
1,15,5mhansba,5,tt,Questions,1579192653,23,1,False
1,15,5mhansba,6,wordscra,Task,1579193077,424,1,False
1,15,5mhansba,7,postexp,Risk,1579193089,12,1,False
1,15,5mhansba,8,postexp,Pref1,1579193140,51,1,False
1,15,5mhansba,9,postexp,Pref2,1579193162,22,1,False
1,15,5mhansba,10,postexp,Demographics,1579193204,42,1,False
1,15,5mhansba,11,postexp,ResultsTask,1579193209,5,1,False
1,16,5tcns4no,1,tt,Instructions,1579208346,131,1,False
1,16,5tcns4no,2,tt,Task,1579208439,93,1,False
1,16,5tcns4no,3,tt,BeliefInstructions,1579208468,29,1,False
1,16,5tcns4no,4,tt,Beliefs,1579208522,54,1,False
1,16,5tcns4no,5,tt,Questions,1579208560,38,1,False
1,16,5tcns4no,6,wordscra,Task,1579208827,267,1,False
1,16,5tcns4no,7,postexp,Risk,1579208839,12,1,False
1,16,5tcns4no,8,postexp,Pref1,1579208885,46,1,False
1,16,5tcns4no,9,postexp,Pref2,1579208919,34,1,False
1,16,5tcns4no,10,postexp,Demographics,1579209024,105,1,False
1,16,5tcns4no,11,postexp,ResultsTask,1579209033,9,1,False
1,17,2nxwb91x,1,tt,Instructions,1579260169,26,1,False
1,17,2nxwb91x,2,tt,Task,1579260198,29,1,False
1,17,2nxwb91x,3,tt,BeliefInstructions,1579260208,10,1,False
1,17,2nxwb91x,4,tt,Beliefs,1579260231,23,1,False
1,17,2nxwb91x,5,tt,Questions,1579260248,17,1,False
1,17,2nxwb91x,6,wordscra,Task,1579260316,68,1,False
1,17,2nxwb91x,7,postexp,Risk,1579260323,7,1,False
1,17,2nxwb91x,8,postexp,Pref1,1579260365,42,1,False
1,17,2nxwb91x,9,postexp,Pref2,1579260380,15,1,False
1,17,2nxwb91x,10,postexp,Demographics,1579260499,119,1,False
1,17,2nxwb91x,11,postexp,ResultsTask,1579260512,13,1,False
