session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,epoch_time,seconds_on_page,subsession_pk,auto_submitted
1,23,5g4vjoy0,7,postexp,Risk,1579075784,19,1,False
1,23,5g4vjoy0,8,postexp,Pref1,1579075864,80,1,False
1,23,5g4vjoy0,9,postexp,Pref2,1579075918,54,1,False
1,23,5g4vjoy0,10,postexp,Demographics,1579075988,70,1,False
1,23,5g4vjoy0,11,postexp,ResultsTask,1579075994,6,1,False
1,25,k3js1udk,1,tt,Instructions,1579244754,35,1,False
1,25,k3js1udk,2,tt,Task,1579244796,42,1,False
1,25,k3js1udk,3,tt,BeliefInstructions,1579244802,6,1,False
1,25,k3js1udk,4,tt,Beliefs,1579244841,39,1,False
1,25,k3js1udk,5,tt,Questions,1579244851,10,1,False
1,25,k3js1udk,6,wordscra,Task,1579244903,52,1,False
1,25,k3js1udk,7,postexp,Risk,1579244911,8,1,False
1,25,k3js1udk,8,postexp,Pref1,1579244935,24,1,False
1,25,k3js1udk,9,postexp,Pref2,1579244956,21,1,False
1,25,k3js1udk,10,postexp,Demographics,1579244993,37,1,False
1,25,k3js1udk,11,postexp,ResultsTask,1579244997,4,1,False
1,27,kr30pbtn,1,tt,Instructions,1579260932,114,1,False
1,27,kr30pbtn,2,tt,Task,1579260983,51,1,False
1,27,kr30pbtn,3,tt,BeliefInstructions,1579261001,18,1,False
1,27,kr30pbtn,4,tt,Beliefs,1579261071,70,1,False
1,27,kr30pbtn,5,tt,Questions,1579261118,47,1,False
1,27,kr30pbtn,6,wordscra,Task,1579261232,114,1,False
1,27,kr30pbtn,7,postexp,Risk,1579261246,14,1,False
1,27,kr30pbtn,8,postexp,Pref1,1579261307,61,1,False
1,27,kr30pbtn,9,postexp,Pref2,1579261337,30,1,False
1,27,kr30pbtn,10,postexp,Demographics,1579261402,65,1,False
1,27,kr30pbtn,11,postexp,ResultsTask,1579261419,17,1,False
