"participant","type","svo_angle","luck","merit","political_orientation","economic_ideology","social_ideology","pair","type_in_pair","coop","coop_rel","earn","earn_rel"
"R_BGpFdMWabLAWWOJ","HH",37.48,4,1,1,1,1,"HLHL","HL",60,80,NA,50.2564102564103
"R_BGpFdMWabLAWWOJ","HH",37.48,4,1,1,1,1,"HLLH","HL",60,80,NA,70
"R_BGpFdMWabLAWWOJ","HH",37.48,4,1,1,1,1,"HLLH","LH",15,60,NA,30.7142857142857
"R_BGpFdMWabLAWWOJ","HH",37.48,4,1,1,1,1,"HLLL","HL",60,80,NA,53.8461538461538
"R_BGpFdMWabLAWWOJ","HH",37.48,4,1,1,1,1,"HLLL","LL",15,60,NA,46.9230769230769
"R_BGpFdMWabLAWWOJ","HH",37.48,4,1,1,1,1,"LHLH","LH",15,60,NA,50.5882352941176
"R_BGpFdMWabLAWWOJ","HH",37.48,4,1,1,1,1,"LHLL","LH",15,60,NA,57.3333333333333
"R_BGpFdMWabLAWWOJ","HH",37.48,4,1,1,1,1,"LHLL","LL",15,60,NA,44
"R_BGpFdMWabLAWWOJ","HH",37.48,4,1,1,1,1,"LLLL","LL",15,60,NA,50.7692307692308
"R_2ykdrynFXLdzR3K","HH",7.82,4,2,3,5,3,"HHHH","HH",35,46.6666666666667,NA,50.1960784313725
"R_2ykdrynFXLdzR3K","HH",7.82,4,2,3,5,3,"HHHL","HH",30,40,NA,50.2222222222222
"R_2ykdrynFXLdzR3K","HH",7.82,4,2,3,5,3,"HHHL","HL",30,40,NA,50.2222222222222
"R_2ykdrynFXLdzR3K","HH",7.82,4,2,3,5,3,"HHLH","HH",30,40,NA,70.5882352941177
"R_2ykdrynFXLdzR3K","HH",7.82,4,2,3,5,3,"HHLH","LH",20,80,NA,30
"R_2ykdrynFXLdzR3K","HH",7.82,4,2,3,5,3,"HHLL","HH",30,40,NA,68.75
"R_2ykdrynFXLdzR3K","HH",7.82,4,2,3,5,3,"HHLL","LL",20,80,NA,31.875
"R_2ykdrynFXLdzR3K","HH",7.82,4,2,3,5,3,"HLHL","HL",30,40,NA,50.2564102564103
"R_2ykdrynFXLdzR3K","HH",7.82,4,2,3,5,3,"HLLH","HL",30,40,NA,64.2857142857143
"R_2ykdrynFXLdzR3K","HH",7.82,4,2,3,5,3,"HLLH","LH",15,60,NA,36.4285714285714
"R_2ykdrynFXLdzR3K","HH",7.82,4,2,3,5,3,"HLLL","HL",30,40,NA,69.2307692307692
"R_2ykdrynFXLdzR3K","HH",7.82,4,2,3,5,3,"HLLL","LL",20,80,NA,31.5384615384615
"R_2ykdrynFXLdzR3K","HH",7.82,4,2,3,5,3,"LHLH","LH",20,80,NA,50.5882352941176
"R_2ykdrynFXLdzR3K","HH",7.82,4,2,3,5,3,"LHLL","LH",20,80,NA,50.6666666666667
"R_2ykdrynFXLdzR3K","HH",7.82,4,2,3,5,3,"LHLL","LL",20,80,NA,50.6666666666667
"R_2ykdrynFXLdzR3K","HH",7.82,4,2,3,5,3,"LLLL","LL",25,100,NA,50.7692307692308
"R_vfsRkn3slEUmhxL","HH",33.43,4,2,5,3,5,"HHHH","HH",50,66.6666666666667,NA,50.1960784313725
"R_vfsRkn3slEUmhxL","HH",33.43,4,2,5,3,5,"HHHL","HH",50,66.6666666666667,NA,56
"R_vfsRkn3slEUmhxL","HH",33.43,4,2,5,3,5,"HHHL","HL",40,53.3333333333333,NA,44.4444444444444
"R_vfsRkn3slEUmhxL","HH",33.43,4,2,5,3,5,"HHLH","HH",50,66.6666666666667,NA,35.8823529411765
"R_vfsRkn3slEUmhxL","HH",33.43,4,2,5,3,5,"HHLH","LH",15,60,NA,64.7058823529412
"R_vfsRkn3slEUmhxL","HH",33.43,4,2,5,3,5,"HHLL","HH",50,66.6666666666667,NA,75
"R_vfsRkn3slEUmhxL","HH",33.43,4,2,5,3,5,"HHLL","LL",15,60,NA,25.625
"R_vfsRkn3slEUmhxL","HH",33.43,4,2,5,3,5,"HLHL","HL",50,66.6666666666667,NA,50.2564102564103
"R_vfsRkn3slEUmhxL","HH",33.43,4,2,5,3,5,"HLLH","HL",40,53.3333333333333,NA,57.1428571428571
"R_vfsRkn3slEUmhxL","HH",33.43,4,2,5,3,5,"HLLH","LH",15,60,NA,43.5714285714286
"R_vfsRkn3slEUmhxL","HH",33.43,4,2,5,3,5,"HLLL","HL",50,66.6666666666667,NA,76.9230769230769
"R_vfsRkn3slEUmhxL","HH",33.43,4,2,5,3,5,"HLLL","LL",15,60,NA,23.8461538461538
"R_vfsRkn3slEUmhxL","HH",33.43,4,2,5,3,5,"LHLH","LH",15,60,NA,50.5882352941176
"R_vfsRkn3slEUmhxL","HH",33.43,4,2,5,3,5,"LHLL","LH",15,60,NA,53.3333333333333
"R_vfsRkn3slEUmhxL","HH",33.43,4,2,5,3,5,"LHLL","LL",12,48,NA,48
"R_vfsRkn3slEUmhxL","HH",33.43,4,2,5,3,5,"LLLL","LL",15,60,NA,50.7692307692308
"R_2zwpOrQ7dFnOTXu","HH",22.57,4,2,4,5,4,"HHHH","HH",0,0,NA,50.1960784313725
"R_2zwpOrQ7dFnOTXu","HH",22.57,4,2,4,5,4,"HHHL","HH",30,40,NA,50.2222222222222
"R_2zwpOrQ7dFnOTXu","HH",22.57,4,2,4,5,4,"HHHL","HL",50,66.6666666666667,NA,50.2222222222222
"R_2zwpOrQ7dFnOTXu","HH",22.57,4,2,4,5,4,"HHLH","HH",40,53.3333333333333,NA,50
"R_2zwpOrQ7dFnOTXu","HH",22.57,4,2,4,5,4,"HHLH","LH",10,40,NA,50.5882352941176
"R_2zwpOrQ7dFnOTXu","HH",22.57,4,2,4,5,4,"HHLL","HH",50,66.6666666666667,NA,50
"R_2zwpOrQ7dFnOTXu","HH",22.57,4,2,4,5,4,"HHLL","LL",20,80,NA,50.625
"R_2zwpOrQ7dFnOTXu","HH",22.57,4,2,4,5,4,"HLHL","HL",10,13.3333333333333,NA,50.2564102564103
"R_2zwpOrQ7dFnOTXu","HH",22.57,4,2,4,5,4,"HLLH","HL",20,26.6666666666667,NA,29.2857142857143
"R_2zwpOrQ7dFnOTXu","HH",22.57,4,2,4,5,4,"HLLH","LH",10,40,NA,71.4285714285714
"R_2zwpOrQ7dFnOTXu","HH",22.57,4,2,4,5,4,"HLLL","HL",30,40,NA,50
"R_2zwpOrQ7dFnOTXu","HH",22.57,4,2,4,5,4,"HLLL","LL",10,40,NA,50.7692307692308
"R_2zwpOrQ7dFnOTXu","HH",22.57,4,2,4,5,4,"LHLH","LH",10,40,NA,50.5882352941176
"R_2zwpOrQ7dFnOTXu","HH",22.57,4,2,4,5,4,"LHLL","LH",5,20,NA,50.6666666666667
"R_2zwpOrQ7dFnOTXu","HH",22.57,4,2,4,5,4,"LHLL","LL",0,0,NA,50.6666666666667
"R_2zwpOrQ7dFnOTXu","HH",22.57,4,2,4,5,4,"LLLL","LL",0,0,NA,50.7692307692308
"R_1flsjLvQmts3bYJ","HH",34.88,3,1,2,2,2,"HHHH","HH",75,100,NA,50.1960784313725
"R_1flsjLvQmts3bYJ","HH",34.88,3,1,2,2,2,"HHHL","HH",75,100,NA,50.2222222222222
"R_1flsjLvQmts3bYJ","HH",34.88,3,1,2,2,2,"HHHL","HL",75,100,NA,50.2222222222222
"R_1flsjLvQmts3bYJ","HH",34.88,3,1,2,2,2,"HHLH","HH",75,100,NA,50.5882352941176
"R_1flsjLvQmts3bYJ","HH",34.88,3,1,2,2,2,"HHLH","LH",25,100,NA,50
"R_1flsjLvQmts3bYJ","HH",34.88,3,1,2,2,2,"HHLL","HH",75,100,NA,50.625
"R_1flsjLvQmts3bYJ","HH",34.88,3,1,2,2,2,"HHLL","LL",25,100,NA,50
"R_1flsjLvQmts3bYJ","HH",34.88,3,1,2,2,2,"HLHL","HL",75,100,NA,50.2564102564103
"R_1flsjLvQmts3bYJ","HH",34.88,3,1,2,2,2,"HLLH","HL",75,100,NA,50.7142857142857
"R_1flsjLvQmts3bYJ","HH",34.88,3,1,2,2,2,"HLLH","LH",25,100,NA,50
"R_1flsjLvQmts3bYJ","HH",34.88,3,1,2,2,2,"HLLL","HL",75,100,NA,50.7692307692308
"R_1flsjLvQmts3bYJ","HH",34.88,3,1,2,2,2,"HLLL","LL",25,100,NA,50
"R_1flsjLvQmts3bYJ","HH",34.88,3,1,2,2,2,"LHLH","LH",25,100,NA,50.5882352941176
"R_1flsjLvQmts3bYJ","HH",34.88,3,1,2,2,2,"LHLL","LH",25,100,NA,50.6666666666667
"R_1flsjLvQmts3bYJ","HH",34.88,3,1,2,2,2,"LHLL","LL",25,100,NA,50.6666666666667
"R_1flsjLvQmts3bYJ","HH",34.88,3,1,2,2,2,"LLLL","LL",25,100,NA,50.7692307692308
"R_QhTRGdxnzlGvW1j","HH",34.88,4,3,5,3,3,"HHHH","HH",75,100,NA,50.1960784313725
"R_QhTRGdxnzlGvW1j","HH",34.88,4,3,5,3,3,"HHHL","HH",50,66.6666666666667,NA,56
"R_QhTRGdxnzlGvW1j","HH",34.88,4,3,5,3,3,"HHHL","HL",50,66.6666666666667,NA,44.4444444444444
"R_QhTRGdxnzlGvW1j","HH",34.88,4,3,5,3,3,"HHLH","HH",50,66.6666666666667,NA,64.7058823529412
"R_QhTRGdxnzlGvW1j","HH",34.88,4,3,5,3,3,"HHLH","LH",10,40,NA,35.8823529411765
"R_QhTRGdxnzlGvW1j","HH",34.88,4,3,5,3,3,"HHLL","HH",50,66.6666666666667,NA,68.75
"R_QhTRGdxnzlGvW1j","HH",34.88,4,3,5,3,3,"HHLL","LL",10,40,NA,31.875
"R_QhTRGdxnzlGvW1j","HH",34.88,4,3,5,3,3,"HLHL","HL",50,66.6666666666667,NA,50.2564102564103
"R_QhTRGdxnzlGvW1j","HH",34.88,4,3,5,3,3,"HLLH","HL",50,66.6666666666667,NA,64.2857142857143
"R_QhTRGdxnzlGvW1j","HH",34.88,4,3,5,3,3,"HLLH","LH",15,60,NA,36.4285714285714
"R_QhTRGdxnzlGvW1j","HH",34.88,4,3,5,3,3,"HLLL","HL",50,66.6666666666667,NA,70
"R_QhTRGdxnzlGvW1j","HH",34.88,4,3,5,3,3,"HLLL","LL",10,40,NA,30.7692307692308
"R_QhTRGdxnzlGvW1j","HH",34.88,4,3,5,3,3,"LHLH","LH",25,100,NA,50.5882352941176
"R_QhTRGdxnzlGvW1j","HH",34.88,4,3,5,3,3,"LHLL","LH",15,60,NA,50.6666666666667
"R_QhTRGdxnzlGvW1j","HH",34.88,4,3,5,3,3,"LHLL","LL",10,40,NA,50.6666666666667
"R_QhTRGdxnzlGvW1j","HH",34.88,4,3,5,3,3,"LLLL","LL",25,100,NA,50.7692307692308
"R_e5Pfw5PKY8z5gGd","HH",37.48,3,2,3,3,2,"HHHH","HH",60,80,NA,50.1960784313725
"R_e5Pfw5PKY8z5gGd","HH",37.48,3,2,3,3,2,"HHHL","HH",60,80,NA,50.2222222222222
"R_e5Pfw5PKY8z5gGd","HH",37.48,3,2,3,3,2,"HHHL","HL",60,80,NA,50.2222222222222
"R_e5Pfw5PKY8z5gGd","HH",37.48,3,2,3,3,2,"HHLH","HH",60,80,NA,50.5882352941176
"R_e5Pfw5PKY8z5gGd","HH",37.48,3,2,3,3,2,"HHLH","LH",15,60,NA,50
"R_e5Pfw5PKY8z5gGd","HH",37.48,3,2,3,3,2,"HHLL","HH",60,80,NA,50.625
"R_e5Pfw5PKY8z5gGd","HH",37.48,3,2,3,3,2,"HHLL","LL",10,40,NA,50
"R_e5Pfw5PKY8z5gGd","HH",37.48,3,2,3,3,2,"HLHL","HL",60,80,NA,50.2564102564103
"R_e5Pfw5PKY8z5gGd","HH",37.48,3,2,3,3,2,"HLLH","HL",50,66.6666666666667,NA,50.7142857142857
"R_e5Pfw5PKY8z5gGd","HH",37.48,3,2,3,3,2,"HLLH","LH",15,60,NA,50
"R_e5Pfw5PKY8z5gGd","HH",37.48,3,2,3,3,2,"HLLL","HL",50,66.6666666666667,NA,50.7692307692308
"R_e5Pfw5PKY8z5gGd","HH",37.48,3,2,3,3,2,"HLLL","LL",10,40,NA,50
"R_e5Pfw5PKY8z5gGd","HH",37.48,3,2,3,3,2,"LHLH","LH",20,80,NA,50.5882352941176
"R_e5Pfw5PKY8z5gGd","HH",37.48,3,2,3,3,2,"LHLL","LH",15,60,NA,50.6666666666667
"R_e5Pfw5PKY8z5gGd","HH",37.48,3,2,3,3,2,"LHLL","LL",10,40,NA,50.6666666666667
"R_e5Pfw5PKY8z5gGd","HH",37.48,3,2,3,3,2,"LLLL","LL",10,40,NA,50.7692307692308
"R_3fYJEm86G15nhe3","HH",34.88,2,1,4,5,4,"HHHH","HH",25,33.3333333333333,NA,50.1960784313725
"R_3fYJEm86G15nhe3","HH",34.88,2,1,4,5,4,"HHHL","HH",25,33.3333333333333,NA,50.2222222222222
"R_3fYJEm86G15nhe3","HH",34.88,2,1,4,5,4,"HHHL","HL",20,26.6666666666667,NA,50.2222222222222
"R_3fYJEm86G15nhe3","HH",34.88,2,1,4,5,4,"HHLH","HH",25,33.3333333333333,NA,50.5882352941176
"R_3fYJEm86G15nhe3","HH",34.88,2,1,4,5,4,"HHLH","LH",5,20,NA,50
"R_3fYJEm86G15nhe3","HH",34.88,2,1,4,5,4,"HHLL","HH",25,33.3333333333333,NA,50
