"pp","type","endowment","productivity","svo_angle","svo_category","svo_totalself","svo_totalother","pref_1","pref_2","pref_3","pref_4","coop_HH","coop_HL","coop_LH","coop_LL","belief_HH","belief_HL","belief_LH","belief_LL","create_types","create_types_MC","create_types_MC_other","create_pairs_HH","create_pairs_HL","create_pairs_LH","create_pairs_LL","create_pairs_MC","create_pairs_MC_other","fair_con_HHHH_HH","fair_con_HHHL_HH","fair_con_HHHL_HL","fair_con_HHLH_HH","fair_con_HHLH_LH","fair_con_HHLL_HH","fair_con_HHLL_LL","fair_con_HLHL_HL","fair_con_HLLH_HL","fair_con_HLLH_LH","fair_con_HLLL_HL","fair_con_HLLL_LL","fair_con_LHLH_LH","fair_con_LHLL_LH","fair_con_LHLL_LL","fair_con_LLLL_LL","faircoop_MC","faircoop_MC_other","fair_earn_HHHH_HH_1","fair_earn_HHHH_HH_2","fair_earn_HHHL_HH","fair_earn_HHHL_HL","fair_earn_HHLH_HH","fair_earn_HHLH_LH","fair_earn_HHLL_HH","fair_earn_HHLL_LL","fair_earn_HLHL_HL_1","fair_earn_HLHL_HL_2","fair_earn_HLLH_HL","fair_earn_HLLH_LH","fair_earn_HLLL_HL","fair_earn_HLLL_LL","fair_earn_LHLH_LH_1","fair_earn_LHLH_LH_2","fair_earn_LHLL_LH","fair_earn_LHLL_LL","fair_earn_LLLL_LL_1","fair_earn_LLLL_LL_2","fairearn_MC","fairearn_MC_other","inequality_beliefs1_1","inequality_beliefs1_2","inequality_beliefs1_3","inequality_beliefs1_4","inequality_beliefs2_1","inequality_beliefs2_2","inequality_beliefs2_3","inequality_beliefs2_4","inequality_beliefs2_5","inequality_attitudes_1","inequality_attitudes_2","gender","age","country","education","political_orientation","social_ideology","economic_ideology","fair_con_HHHH_HH_rel","fair_con_HHHL_HH_rel","fair_con_HHHL_HL_rel","fair_con_HHLH_HH_rel","fair_con_HHLH_LH_rel","fair_con_HHLL_HH_rel","fair_con_HHLL_LL_rel","fair_con_HLHL_HL_rel","fair_con_HLLH_HL_rel","fair_con_HLLH_LH_rel","fair_con_HLLL_HL_rel","fair_con_HLLL_LL_rel","fair_con_LHLH_LH_rel","fair_con_LHLL_LH_rel","fair_con_LHLL_LL_rel","fair_con_LLLL_LL_rel","fair_earn_HHHH_HH_rel","fair_earn_HHHL_HH_rel","fair_earn_HHHL_HL_rel","fair_earn_HHLH_HH_rel","fair_earn_HHLH_LH_rel","fair_earn_HHLL_HH_rel","fair_earn_HHLL_LL_rel","fair_earn_HLHL_HL_rel","fair_earn_HLLH_HL_rel","fair_earn_HLLH_LH_rel","fair_earn_HLLL_HL_rel","fair_earn_HLLL_LL_rel","fair_earn_LHLH_LH_rel","fair_earn_LHLL_LH_rel","fair_earn_LHLL_LL_rel","fair_earn_LLLL_LL_rel","inequality_beliefs1_1_num","inequality_beliefs1_2_num","inequality_beliefs1_3_num","inequality_beliefs1_4_num","inequality_beliefs2_1_num","inequality_beliefs2_2_num","inequality_beliefs2_3_num","inequality_beliefs2_4_num","inequality_beliefs2_5_num","inequality_attitudes_1_num","inequality_attitudes_2_num","merit","luck"
"R_3NIDGxPCCLVPU6q","HH",75,1.7,29.8,"Prosocial",1252,1190,"HH","HL","LH","LL",30,30,30,25,25,25,10,15,"HL-LH","Inequality","","LL","LH","HL","HH","Inequality","",40,35,30,30,15,35,10,30,30,15,30,15,15,10,10,10,"Inequality","",116,140,126,100,110,61,120,41,98,98,71,70,80,51,43,43,46,30,33,33,"Inequality","","strongly disagree","neither agree
nor disagree","strongly disagree","strongly disagree","strongly disagree","strongly disagree","strongly disagree","agree somewhat","strongly disagree","disagree somewhat","agree somewhat","Female",43,"United States of America","Bachelor's degree in college (4-year)",7,7,1,53.3333333333333,46.6666666666667,40,40,60,46.6666666666667,40,40,40,60,40,60,60,40,40,40,45.4901960784314,56,44.4444444444444,64.7058823529412,35.8823529411765,75,25.625,50.2564102564103,50.7142857142857,50,61.5384615384615,39.2307692307692,50.5882352941176,61.3333333333333,40,50.7692307692308,1,3,1,1,1,1,1,4,1,2,4,1,3
"R_28NvB38W7tPP3Cm","HH",75,1.7,7.82,"Individualistic",1455,1075,"HH","HL","LH","LL",25,25,25,25,25,25,10,10,"HL-LH","Welfare","","HH","HL","LH","LL","Welfare","",25,25,25,25,15,25,15,25,25,15,25,15,15,15,15,15,"Welfare","",128,128,113,113,86,85,80,81,98,98,71,70,66,65,43,43,38,38,33,33,"Similarity","","strongly agree","agree somewhat","agree somewhat","agree somewhat","strongly disagree","strongly agree","strongly agree","strongly disagree","strongly disagree","neither agree
nor disagree","neither agree
nor disagree","Male",32,"United States of America","Master's degree",2,2,6,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,60,33.3333333333333,60,33.3333333333333,33.3333333333333,60,33.3333333333333,60,60,60,60,60,50.1960784313725,50.2222222222222,50.2222222222222,50.5882352941176,50,50,50.625,50.2564102564103,50.7142857142857,50,50.7692307692308,50,50.5882352941176,50.6666666666667,50.6666666666667,50.7692307692308,5,4,4,4,1,5,5,1,1,3,3,5,4
"R_vv42PJFpNXO3O5r","HH",75,1.7,37.48,"Prosocial",1281,1233,"HH","HL","LH","LL",75,75,30,30,75,75,15,15,"HL-LH","Similarity","","LL","LH","HL","HH","Inequality","",75,75,75,30,15,75,15,75,30,15,30,15,25,15,15,25,"Inequality","",128,128,113,113,85.5,85.5,80.5,80.5,98,98,70.5,70.5,65.5,65.5,43,43,38,38,33,33,"Inequality","","disagree somewhat","agree somewhat","strongly agree","neither agree
nor disagree","neither agree
nor disagree","disagree somewhat","neither agree
nor disagree","strongly agree","neither agree
nor disagree","agree somewhat","agree somewhat","Male",32,"United States of America","Some college but no degree",2,2,6,100,100,100,40,60,100,60,100,40,60,40,60,100,60,60,100,50.1960784313725,50.2222222222222,50.2222222222222,50.2941176470588,50.2941176470588,50.3125,50.3125,50.2564102564103,50.3571428571429,50.3571428571429,50.3846153846154,50.3846153846154,50.5882352941176,50.6666666666667,50.6666666666667,50.7692307692308,2,4,5,3,3,2,3,5,3,4,4,2,4
"R_1ClrZ2sdMSFBads","HH",75,1.7,-9.93,"Individualistic",1348,1075,"HL","HH","LH","LL",10,10,20,20,10,15,10,20,"HH-LL","Welfare","","LL","HH","HL","LH","Welfare","",30,25,20,20,10,25,10,10,10,10,15,10,10,10,10,10,"Welfare","",128,128,150,76,105,66,92,69,98,98,73,68,66,65,43,43,38,38,33,33,"Welfare","","strongly disagree","strongly disagree","strongly disagree","strongly disagree","disagree somewhat","strongly disagree","disagree somewhat","strongly disagree","strongly disagree","strongly disagree","agree somewhat","Female",49,"United States of America","Master's degree",4,5,5,40,33.3333333333333,26.6666666666667,26.6666666666667,40,33.3333333333333,40,13.3333333333333,13.3333333333333,40,20,40,40,40,40,40,50.1960784313725,66.6666666666667,33.7777777777778,61.7647058823529,38.8235294117647,57.5,43.125,50.2564102564103,52.1428571428571,48.5714285714286,50.7692307692308,50,50.5882352941176,50.6666666666667,50.6666666666667,50.7692307692308,1,1,1,1,2,1,2,1,1,1,4,1,1
"R_6Q2vzjyGVyOozrb","HH",75,1.7,7.82,"Individualistic",1455,1075,"HH","LH","HL","LL",20,20,20,20,20,15,10,10,"HH-LL","Welfare","","LL","HH","HL","LH","Inequality","",75,30,20,30,25,30,25,75,20,25,20,25,25,25,25,25,"Welfare","",128,128,120,106,120,51,100,61,98,98,100,41,90,41,43,43,46,30,33,33,"Welfare","","strongly disagree","strongly agree","strongly disagree","neither agree
nor disagree","agree somewhat","strongly disagree","agree somewhat","strongly agree","neither agree
nor disagree","strongly agree","strongly agree","Female",33,"United States of America","High school graduate (high school diploma or equivalent including GED)",1,1,7,100,40,26.6666666666667,40,100,40,100,100,26.6666666666667,100,26.6666666666667,100,100,100,100,100,50.1960784313725,53.3333333333333,47.1111111111111,70.5882352941177,30,62.5,38.125,50.2564102564103,71.4285714285714,29.2857142857143,69.2307692307692,31.5384615384615,50.5882352941176,61.3333333333333,40,50.7692307692308,1,5,1,3,4,1,4,5,3,5,5,1,5
"R_1yIhUzY2u1HQA6d","HH",75,1.7,26.98,"Prosocial",1389,1150,"HH","LH","HL","LL",20,25,25,20,20,20,10,10,"HL-LH","Welfare","","HH","HL","LL","LH","Similarity","",30,20,15,10,5,30,10,25,15,5,20,10,5,10,10,10,"Welfare","",128,128,113,113,100,71,81,80,98,98,71,70,66,65,43,43,38,38,33,33,"Welfare","","strongly disagree","neither agree
nor disagree","disagree somewhat","neither agree
nor disagree","strongly disagree","disagree somewhat","agree somewhat","neither agree
nor disagree","strongly disagree","neither agree
nor disagree","neither agree
nor disagree","Female",49,"United States of America","Bachelor's degree in college (4-year)",2,6,6,40,26.6666666666667,20,13.3333333333333,20,40,40,33.3333333333333,20,20,26.6666666666667,40,20,40,40,40,50.1960784313725,50.2222222222222,50.2222222222222,58.8235294117647,41.7647058823529,50.625,50,50.2564102564103,50.7142857142857,50,50.7692307692308,50,50.5882352941176,50.6666666666667,50.6666666666667,50.7692307692308,1,3,2,3,1,2,4,3,1,3,3,1,3
"R_20ZsnTcPDX9i3SD","HH",75,1.7,45,"Prosocial",1252,1282,"HH","HL","LH","LL",20,20,10,10,20,20,10,10,"HL-LH","Welfare","","LL","LH","HL","HH","Inequality","",30,30,30,30,10,30,10,30,30,10,30,10,12,10,10,5,"Welfare","",128,128,113,113,85,86,80,81,98,98,70,71,65,66,43,43,38,38,33,33,"Similarity","","agree somewhat","agree somewhat","neither agree
nor disagree","agree somewhat","neither agree
nor disagree","neither agree
nor disagree","neither agree
nor disagree","neither agree
nor disagree","neither agree
nor disagree","agree somewhat","agree somewhat","Female",26,"United States of America","Bachelor's degree in college (4-year)",2,2,6,40,40,40,40,40,40,40,40,40,40,40,40,48,40,40,20,50.1960784313725,50.2222222222222,50.2222222222222,50,50.5882352941176,50,50.625,50.2564102564103,50,50.7142857142857,50,50.7692307692308,50.5882352941176,50.6666666666667,50.6666666666667,50.7692307692308,4,4,3,4,3,3,3,3,3,4,4,4,4
"R_AvwhyCv3v0CQs4p","HL",75,1.3,34.88,"Prosocial",1308,1208,"HH","HL","LH","LL",15,15,5,5,15,15,5,5,"HH-LL","Welfare","","HH","HL","LH","LL","Similarity","",25,25,25,25,5,25,5,20,20,5,25,5,5,5,5,5,"Welfare","",128,128,126,100,120,51,110,51,98,98,80,61,85,46,43,43,40,36,33,33,"Welfare","","agree somewhat","strongly agree","neither agree
nor disagree","strongly disagree","agree somewhat","strongly agree","strongly agree","agree somewhat","neither agree
nor disagree","strongly agree","agree somewhat","Male",20,"United Kingdom of Great Britain and Northern Ireland","Master's degree",4,4,4,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,20,33.3333333333333,20,26.6666666666667,26.6666666666667,20,33.3333333333333,20,20,20,20,20,50.1960784313725,56,44.4444444444444,70.5882352941177,30,68.75,31.875,50.2564102564103,57.1428571428571,43.5714285714286,65.3846153846154,35.3846153846154,50.5882352941176,53.3333333333333,48,50.7692307692308,4,5,3,1,4,5,5,4,3,5,4,4,5
"R_3qUrCmWQFVwahT3","HL",75,1.3,24.2,"Prosocial",1407,1162,"HH","HL","LH","LL",20,20,10,10,50,35,15,10,"HH-LL","Welfare","","HL","HH","LL","LH","Inequality","",60,60,25,60,20,60,20,60,35,20,15,15,20,20,15,15,"Inequality","",128,128,126,100,100,71,100,61,98,98,71,70,70,61,43,43,40,36,33,33,"Inequality","","strongly disagree","agree somewhat","agree somewhat","agree somewhat","neither agree
nor disagree","strongly agree","strongly agree","strongly agree","agree somewhat","agree somewhat","strongly agree","Male",31,"United Kingdom of Great Britain and Northern Ireland","Some college but no degree",2,2,3,80,80,33.3333333333333,80,80,80,80,80,46.6666666666667,80,20,60,80,80,60,60,50.1960784313725,56,44.4444444444444,58.8235294117647,41.7647058823529,62.5,38.125,50.2564102564103,50.7142857142857,50,53.8461538461538,46.9230769230769,50.5882352941176,53.3333333333333,48,50.7692307692308,1,4,4,4,3,5,5,5,4,4,5,1,4
"R_1q3XOPgiYeqFUaO","HL",75,1.3,14.2,"Individualistic",1384,1129,"HH","HL","LH","LL",35,35,25,10,35,35,10,5,"HL-LH","Inequality","","LL","LH","HL","HH","Inequality","",50,40,35,40,15,30,15,35,30,15,30,20,20,20,20,20,"Welfare","",128,128,116,110,96,75,111,50,98,98,98,43,98,33,43,43,43,33,33,33,"Inequality","","strongly disagree","disagree somewhat","strongly disagree","strongly disagree","agree somewhat","disagree somewhat","agree somewhat","strongly agree","agree somewhat","strongly agree","strongly agree","Female",25,"United Kingdom of Great Britain and Northern Ireland","Bachelor's degree in college (4-year)",2,2,2,66.6666666666667,53.3333333333333,46.6666666666667,53.3333333333333,60,40,60,46.6666666666667,40,60,40,80,80,80,80,80,50.1960784313725,51.5555555555556,48.8888888888889,56.4705882352941,44.1176470588235,69.375,31.25,50.2564102564103,70,30.7142857142857,75.3846153846154,25.3846153846154,50.5882352941176,57.3333333333333,44,50.7692307692308,1,2,1,1,4,2,4,5,4,5,5,1,2
"R_2az7iTbd0YFWY9U","HL",75,1.3,34.88,"Prosocial",1288,1225,"HH","HL","LH","LL",50,75,50,25,25,50,10,10,"HL-LH","Inequality","","HH","HL","LH","LL","Similarity","",75,75,75,75,25,75,25,75,75,25,75,25,25,25,25,25,"Welfare","",128,128,113,113,86,85,86,75,98,98,71,70,75,56,43,43,38,38,33,33,"Similarity","","disagree somewhat","strongly agree","disagree somewhat","disagree somewhat","disagree somewhat","disagree somewhat","disagree somewhat","agree somewhat","neither agree
nor disagree","agree somewhat","agree somewhat","Female",44,"United Kingdom of Great Britain and Northern Ireland","Bachelor's degree in college (4-year)",3,3,5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50.1960784313725,50.2222222222222,50.2222222222222,50.5882352941176,50,53.75,46.875,50.2564102564103,50.7142857142857,50,57.6923076923077,43.0769230769231,50.5882352941176,50.6666666666667,50.6666666666667,50.7692307692308,2,5,2,2,2,2,2,4,3,4,4,2,5
"R_AMq7PpBCHY5XA0V","HL",75,1.3,40.07,"Prosocial",1292,1252,"HH","LH","HL","LL",60,40,50,40,50,30,25,10,"HL-LH","Inequality","","LL","LH","HL","HH","Inequality","",75,75,75,75,25,75,25,75,75,25,75,25,25,25,25,25,"Welfare","",128,128,120,106,95,76,100,61,98,98,85,56,85,46,43,43,40,36,33,33,"Inequality","","strongly disagree","agree somewhat","strongly disagree","strongly disagree","agree somewhat","strongly disagree","disagree somewhat","strongly agree","disagree somewhat","strongly agree","strongly agree","Male",48,"United States of America","Master's degree",2,1,2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50.1960784313725,53.3333333333333,47.1111111111111,55.8823529411765,44.7058823529412,62.5,38.125,50.2564102564103,60.7142857142857,40,65.3846153846154,35.3846153846154,50.5882352941176,53.3333333333333,48,50.7692307692308,1,4,1,1,4,1,2,5,2,5,5,1,4
"R_bHhWYxiURFBlHRT","HL",75,1.3,29.43,"Prosocial",1356,1171,"HH","HL","LH","LL",50,50,25,10,25,30,10,10,"HL-LH","Inequality","","LL","LH","HL","HH","Inequality","",30,30,40,50,15,50,15,50,50,15,50,15,15,15,15,15,"Inequality","",128,128,125,101,51,120,125,36,98,98,95,46,90,41,43,43,39,37,33,33,"Inequality","","strongly disagree","strongly agree","strongly agree","strongly disagree","strongly agree","strongly disagree","strongly agree","strongly agree","agree somewhat","strongly agree","strongly agree","Female",21,"United States of America","Less than high school degree",3,2,4,40,40,53.3333333333333,66.6666666666667,60,66.6666666666667,60,66.6666666666667,66.6666666666667,60,66.6666666666667,60,60,60,60,60,50.1960784313725,55.5555555555556,44.8888888888889,30,70.5882352941177,78.125,22.5,50.2564102564103,67.8571428571429,32.8571428571429,69.2307692307692,31.5384615384615,50.5882352941176,52,49.3333333333333,50.7692307692308,1,5,5,1,5,1,5,5,4,5,5,1,5
"R_37O868rechZ46Ax","HL",75,1.3,37.48,"Prosocial",1286,1228,"HH","HL","LH","LL",25,25,25,25,25,25,10,10,"HL-LH","Random","","LL","LH","HL","HH","Welfare","",25,25,25,30,10,30,10,25,30,10,30,10,10,10,10,10,"Welfare","",128,128,113,113,85,86,80,81,98,98,70,71,65,66,43,43,38,38,33,33,"Similarity","","disagree somewhat","agree somewhat","neither agree
nor disagree","neither agree
nor disagree","agree somewhat","agree somewhat","neither agree
nor disagree","neither agree
nor disagree","agree somewhat","strongly agree","strongly agree","Male",23,"United States of America","High school graduate (high school diploma or equivalent including GED)",1,1,4,33.3333333333333,33.3333333333333,33.3333333333333,40,40,40,40,33.3333333333333,40,40,40,40,40,40,40,40,50.1960784313725,50.2222222222222,50.2222222222222,50,50.5882352941176,50,50.625,50.2564102564103,50,50.7142857142857,50,50.7692307692308,50.5882352941176,50.6666666666667,50.6666666666667,50.7692307692308,2,4,3,3,4,4,3,3,4,5,5,2,4
"R_1HoCdep4tT6XFGs","HL",75,1.3,34.88,"Prosocial",1291,1221,"HL","LH","HH","LL",20,35,10,10,25,35,5,5,"HL-LH","Random","","LL","LH","HL","HH","Welfare","",50,50,35,35,10,35,5,35,35,10,25,5,10,10,5,5,"Random","",128,128,128,98,128,43,128,33,98,98,98,43,98,33,43,43,33,43,33,33,"Other","The more they contribute, the more they get.","strongly disagree","agree somewhat","disagree somewhat","strongly disagree","strongly agree","disagree somewhat","disagree somewhat","strongly agree","agree somewhat","strongly agree","strongly agree","Female",22,"United States of America","Some college but no degree",4,4,4,66.6666666666667,66.6666666666667,46.6666666666667,46.6666666666667,40,46.6666666666667,20,46.6666666666667,46.6666666666667,40,33.3333333333333,20,40,40,20,20,50.1960784313725,56.8888888888889,43.5555555555556,75.2941176470588,25.2941176470588,80,20.625,50.2564102564103,70,30.7142857142857,75.3846153846154,25.3846153846154,50.5882352941176,44,57.3333333333333,50.7692307692308,1,4,2,1,5,2,2,5,4,5,5,1,4
"R_3CPhbiEGcjLNK97","HL",75,1.3,37.48,"Prosocial",1284,1231,"HH","HL","LL","LH",15,5,25,15,10,20,5,10,"HL-LH","Welfare","","LL","LH","HH","HL","Inequality","",25,15,15,30,10,15,10,10,27,7,25,5,5,5,5,5,"Inequality","",128,128,128,98,111,60,101,60,98,98,98,43,81,50,43,43,38,38,33,33,"Inequality","","strongly disagree","agree somewhat","disagree somewhat","strongly disagree","strongly agree","strongly agree","agree somewhat","agree somewhat","disagree somewhat","strongly agree","agree somewhat","Female",23,"United States of America","Some college but no degree",4,6,4,33.3333333333333,20,20,40,40,20,40,13.3333333333333,36,28,33.3333333333333,20,20,20,20,20,50.1960784313725,56.8888888888889,43.5555555555556,65.2941176470588,35.2941176470588,63.125,37.5,50.2564102564103,70,30.7142857142857,62.3076923076923,38.4615384615385,50.5882352941176,50.6666666666667,50.6666666666667,50.7692307692308,1,4,2,1,5,5,4,4,2,5,4,1,4
"R_2WOJXn48KXgcQPA","HL",75,1.3,7.82,"Individualistic",1455,1075,"HH","HL","LH","LL",35,35,75,1,38,35,25,25,"HH-LL","Welfare","","HH","HL","LL","LH","Welfare","",20,75,30,50,25,30,10,25,50,10,10,25,14,25,25,25,"Welfare","",128,128,26,200,100,71,30,131,98,98,130,11,116,15,43,43,36,40,33,33,"Welfare","","strongly agree","strongly agree","strongly agree","strongly agree","strongly agree","strongly agree","strongly agree","strongly agree","neither agree
nor disagree","agree somewhat","disagree somewhat","Male",30,"United Kingdom of Great Britain and Northern Ireland","High school graduate (high school diploma or equivalent including GED)",5,5,5,26.6666666666667,100,40,66.6666666666667,100,40,40,33.3333333333333,66.6666666666667,40,13.3333333333333,100,56,100,100,100,50.1960784313725,11.5555555555556,88.8888888888889,58.8235294117647,41.7647058823529,18.75,81.875,50.2564102564103,92.8571428571429,7.85714285714286,89.2307692307692,11.5384615384615,50.5882352941176,48,53.3333333333333,50.7692307692308,5,5,5,5,5,5,5,5,3,4,2,5,5
"R_1P0JwyfPSArcPBh","HL",75,1.3,16.26,"Individualistic",1440,1110,"HH","HL","LH","LL",75,75,75,75,50,75,15,10,"HL-LH","Welfare","","LL","LH","HL","HH","Inequality","",75,75,75,75,25,75,25,75,75,25,75,25,25,25,25,25,"Inequality","",128,128,113,113,86,85,81,80,98,98,71,70,66,65,43,43,38,38,33,33,"Similarity","","strongly disagree","agree somewhat","neither agree
nor disagree","strongly agree","neither agree
nor disagree","strongly disagree","strongly disagree","agree somewhat","disagree somewhat","strongly agree","strongly agree","Male",41,"United Kingdom of Great Britain and Northern Ireland","High school graduate (high school diploma or equivalent including GED)",4,4,4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50.1960784313725,50.2222222222222,50.2222222222222,50.5882352941176,50,50.625,50,50.2564102564103,50.7142857142857,50,50.7692307692308,50,50.5882352941176,50.6666666666667,50.6666666666667,50.7692307692308,1,4,3,5,3,1,1,4,2,5,5,1,4
"R_11dPzWmNJA22fot","HL",75,1.3,37.09,"Prosocial",1405,1195,"HL","LH","LL","HH",20,20,20,20,20,15,5,5,"HL-LH","Similarity","","LL","HL","LH","HH","Random","",20,20,20,20,5,20,5,20,20,5,20,5,5,5,5,5,"Similarity","",106,150,120,106,80,91,71,90,100,96,66,75,75,56,43,43,41,35,33,33,"Similarity","","disagree somewhat","neither agree
nor disagree","strongly disagree","strongly disagree","disagree somewhat","neither agree
nor disagree","agree somewhat","neither agree
nor disagree","disagree somewhat","strongly agree","strongly agree","Female",41,"United Kingdom of Great Britain and Northern Ireland","Bachelor's degree in college (4-year)",2,4,3,26.6666666666667,26.6666666666667,26.6666666666667,26.6666666666667,20,26.6666666666667,20,26.6666666666667,26.6666666666667,20,26.6666666666667,20,20,20,20,20,41.5686274509804,53.3333333333333,47.1111111111111,47.0588235294118,53.5294117647059,44.375,56.25,51.2820512820513,47.1428571428571,53.5714285714286,57.6923076923077,43.0769230769231,50.5882352941176,54.6666666666667,46.6666666666667,50.7692307692308,2,3,1,1,2,3,4,3,2,5,5,2,3
"R_3L0awy5mVfW9EbJ","HL",75,1.3,34.88,"Prosocial",1302,1232,"HH","HL","LH","LL",35,75,25,15,40,75,10,15,"HH-LL","Similarity","","LL","HH","LH","HL","Inequality","",75,75,75,30,15,30,15,75,30,15,30,15,25,25,25,25,"Welfare","",128,128,113,113,86,85,81,80,98,98,71,70,66,65,43,43,38,38,33,33,"Similarity","","disagree somewhat","agree somewhat","strongly disagree","neither agree
nor disagree","agree somewhat","disagree somewhat","neither agree
nor disagree","strongly agree","neither agree
nor disagree","strongly agree","agree somewhat","Male",42,"United Kingdom of Great Britain and Northern Ireland","Bachelor's degree in college (4-year)",3,2,4,100,100,100,40,60,40,60,100,40,60,40,60,100,100,100,100,50.1960784313725,50.2222222222222,50.2222222222222,50.5882352941176,50,50.625,50,50.2564102564103,50.7142857142857,50,50.7692307692308,50,50.5882352941176,50.6666666666667,50.6666666666667,50.7692307692308,2,4,1,3,4,2,3,5,3,5,4,2,4
"R_sShXrvPaq9VJWp3","HL",75,1.3,34.88,"Prosocial",1295,1235,"HH","HL","LH","LL",25,25,25,25,25,25,15,10,"HL-LH","Welfare","","LL","LH","HL","HH","Other","I tried to balance out the pairs",25,25,25,25,10,25,10,25,25,10,25,10,25,15,10,25,"Inequality","",128,128,113,113,86,85,81,80,98,98,71,70,66,65,43,43,38,38,33,33,"Inequality","","disagree somewhat","agree somewhat","strongly disagree","disagree somewhat","agree somewhat","disagree somewhat","strongly agree","agree somewhat","disagree somewhat","agree somewhat","agree somewhat","Male",34,"United Kingdom of Great Britain and Northern Ireland","Some college but no degree",4,4,3,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,40,33.3333333333333,40,33.3333333333333,33.3333333333333,40,33.3333333333333,40,100,60,40,100,50.1960784313725,50.2222222222222,50.2222222222222,50.5882352941176,50,50.625,50,50.2564102564103,50.7142857142857,50,50.7692307692308,50,50.5882352941176,50.6666666666667,50.6666666666667,50.7692307692308,2,4,1,2,4,2,5,4,2,4,4,2,4
"R_2yfHv7gm9an65n7","HL",75,1.3,45,"Prosocial",1270,1270,"HH","HL","LH","LL",0,0,0,0,50,35,10,10,"HH-LL","Similarity","","LL","LH","HL","HH","Inequality","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other","Any contribution is a loss.",128,128,128,98,128,43,128,33,98,98,98,43,98,33,43,43,43,33,33,33,"Other","Different risks for different types, one earning on behalf of the other does not scream ""equality"" either. Maybe I am just too risk-averse?","strongly disagree","agree somewhat","strongly disagree","disagree somewhat","agree somewhat","strongly disagree","neither agree
nor disagree","strongly agree","agree somewhat","strongly agree","strongly agree","Female",30,"United Kingdom of Great Britain and Northern Ireland","Master's degree",2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.1960784313725,56.8888888888889,43.5555555555556,75.2941176470588,25.2941176470588,80,20.625,50.2564102564103,70,30.7142857142857,75.3846153846154,25.3846153846154,50.5882352941176,57.3333333333333,44,50.7692307692308,1,4,1,2,4,1,3,5,4,5,5,1,4
"R_3dR36JiNa3G0jil","HL",75,1.3,34.88,"Prosocial",1310,1215,"HH","HL","LH","LL",20,25,5,0,25,50,10,0,"HL-LH","Inequality","","HH","HL","LH","LL","Welfare","",25,25,25,20,20,10,10,25,10,10,10,10,25,10,10,25,"Welfare","",128,128,128,98,128,43,128,33,98,98,98,43,98,33,43,43,43,33,33,33,"Welfare","","agree somewhat","agree somewhat","strongly disagree","strongly agree","neither agree
nor disagree","strongly agree","disagree somewhat","strongly disagree","disagree somewhat","disagree somewhat","disagree somewhat","Male",31,"United Kingdom of Great Britain and Northern Ireland","Bachelor's degree in college (4-year)",7,4,5,33.3333333333333,33.3333333333333,33.3333333333333,26.6666666666667,80,13.3333333333333,40,33.3333333333333,13.3333333333333,40,13.3333333333333,40,100,40,40,100,50.1960784313725,56.8888888888889,43.5555555555556,75.2941176470588,25.2941176470588,80,20.625,50.2564102564103,70,30.7142857142857,75.3846153846154,25.3846153846154,50.5882352941176,57.3333333333333,44,50.7692307692308,4,4,1,5,3,5,2,1,2,2,2,4,4
"R_w192wjVdCqQNKCt","HL",75,1.3,31.86,"Prosocial",1414,1173,"LL","HH","LH","HL",75,30,20,10,75,40,25,25,"HH-LL","Welfare","","LL","LH","HL","HH","Inequality","",75,75,75,40,25,50,25,75,30,25,50,25,25,25,25,25,"Inequality","",128,128,113,113,128,43,128,33,98,98,98,43,66,65,43,43,38,38,33,33,"Welfare","","disagree somewhat","neither agree
nor disagree","neither agree
nor disagree","neither agree
nor disagree","neither agree
nor disagree","disagree somewhat","disagree somewhat","disagree somewhat","disagree somewhat","agree somewhat","agree somewhat","Male",32,"United Kingdom of Great Britain and Northern Ireland","High school graduate (high school diploma or equivalent including GED)",5,5,3,100,100,100,53.3333333333333,100,66.6666666666667,100,100,40,100,66.6666666666667,100,100,100,100,100,50.1960784313725,50.2222222222222,50.2222222222222,75.2941176470588,25.2941176470588,80,20.625,50.2564102564103,70,30.7142857142857,50.7692307692308,50,50.5882352941176,50.6666666666667,50.6666666666667,50.7692307692308,2,3,3,3,3,2,2,2,2,4,4,2,3
